status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
for_sale,4.0,2.0,0.38,East Windsor,Connecticut,6016.0,1617.0,1999-09-30,289900.0
for_sale,3.0,2.0,0.4,Ware,Massachusetts,1082.0,1911.0,1998-07-27,239900.0
for_sale,3.0,3.0,0.92,Ellington,Connecticut,6029.0,1960.0,2010-06-28,349900.0
for_sale,4.0,3.0,0.29,Chicopee,Massachusetts,1020.0,1514.0,1996-07-30,249900.0
for_sale,3.0,1.0,1.43,East Windsor,Connecticut,6016.0,1351.0,2009-06-05,239900.0
for_sale,3.0,2.0,0.87,Vernon,Connecticut,6066.0,1850.0,2015-11-09,299900.0
for_sale,4.0,1.0,0.64,Longmeadow,Massachusetts,1028.0,1296.0,2017-06-23,329000.0
for_sale,12.0,3.0,0.15,Springfield,Massachusetts,1105.0,3902.0,2014-12-24,369900.0
for_sale,4.0,3.0,1.64,Stafford,Connecticut,6076.0,2056.0,2006-07-11,399900.0
for_sale,3.0,2.0,0.15,Springfield,Massachusetts,1118.0,1613.0,2014-01-30,299900.0
for_sale,5.0,3.0,0.14,Springfield,Massachusetts,1108.0,2328.0,1987-11-20,289900.0
for_sale,3.0,2.0,0.51,Manchester,Connecticut,6040.0,1828.0,2000-07-31,349900.0
for_sale,3.0,1.0,0.23,Enfield,Connecticut,6082.0,1220.0,2003-11-14,249900.0
for_sale,3.0,1.0,0.69,Stafford,Connecticut,6076.0,1192.0,2003-11-17,300000.0
for_sale,4.0,4.0,0.21,Springfield,Massachusetts,1129.0,2016.0,2007-07-24,350000.0
for_sale,3.0,1.0,0.39,Palmer,Massachusetts,1069.0,1166.0,2013-01-16,260000.0
for_sale,3.0,2.0,0.26,Ellington,Connecticut,6029.0,1174.0,2008-07-09,248900.0
for_sale,9.0,3.0,0.11,Springfield,Massachusetts,1151.0,3656.0,2008-06-18,375000.0
for_sale,4.0,2.0,1.0,Brimfield,Massachusetts,1010.0,1765.0,2003-11-26,129900.0
for_sale,2.0,1.0,0.35,Brimfield,Massachusetts,1010.0,814.0,2004-01-16,164900.0
for_sale,4.0,4.0,1.52,Brimfield,Massachusetts,1010.0,3408.0,2005-03-30,559000.0
for_sale,3.0,4.0,5.93,Brimfield,Massachusetts,1010.0,5500.0,1993-04-01,899900.0
for_sale,3.0,1.0,0.25,Chester,Massachusetts,1011.0,1367.0,2009-11-13,115900.0
for_sale,1.0,1.0,0.47,Cummington,Massachusetts,1026.0,608.0,2019-10-25,160000.0
for_sale,3.0,3.0,21.0,Granville,Massachusetts,1034.0,3362.0,1996-06-27,649000.0
for_sale,3.0,2.0,0.24,Becket,Massachusetts,1223.0,1422.0,1994-07-20,149900.0
for_sale,3.0,3.0,0.14,Springfield,Massachusetts,1104.0,1588.0,2005-06-09,289900.0
for_sale,4.0,3.0,0.29,Chicopee,Massachusetts,1020.0,1514.0,1996-07-30,249900.0
for_sale,3.0,2.0,1.13,Westfield,Massachusetts,1085.0,2448.0,2004-10-29,439900.0
for_sale,3.0,2.0,0.49,Agawam,Massachusetts,1030.0,1708.0,1992-08-06,379900.0
for_sale,2.0,1.0,3.0,Savoy,Massachusetts,1256.0,980.0,2006-09-20,149900.0
for_sale,2.0,1.0,0.12,Springfield,Massachusetts,1104.0,864.0,1994-06-30,195000.0
for_sale,3.0,2.0,4.28,Southwick,Massachusetts,1077.0,1410.0,1990-03-28,349900.0
for_sale,3.0,2.0,0.37,West Springfield,Massachusetts,1089.0,1269.0,2017-11-17,299900.0
for_sale,4.0,3.0,0.69,Blandford,Massachusetts,1008.0,3476.0,2007-07-02,675000.0
for_sale,4.0,2.0,0.56,Granby,Massachusetts,1033.0,1523.0,2007-09-19,324900.0
for_sale,3.0,2.0,0.12,Northampton,Massachusetts,1060.0,1531.0,2009-05-01,489900.0
for_sale,3.0,2.0,0.34,Westfield,Massachusetts,1085.0,1424.0,2021-11-10,299413.0
